Execution,Generation,Crossover_type,Mutation_type,mean_accuracy,std_accuracy,mean_flops,std_flops,mean_params,std_params,HV,dHV,X,
1,8,UC,MPOLY,0.671361004,0.027940164,731119311.4,630221484.9,1980509.6,1552920.765,0.720735986,0.003881377,"['SPC_MBFLIP', 'NONE_MNOUNIF', 'SBX_MPOLY', 'UC_MPOLY', 'SBX_MPOLY', 'SPC_MPOLY', 'TPC_MPOLY', 'TPC_MPOLY', 'UC_MPOLY']","{'NONE_MNOUNIF': 1, 'SBX_MPOLY': 2, 'UC_MPOLY': 2, 'SPC_MPOLY': 1, 'TPC_MPOLY': 2}"
1,9,SPC,MPOLY,0.670071744,0.027178526,582121790.7,483098029.1,1561063.84,1184151.778,0.721806189,0.001986004,,
1,9,SPC,MNOUNIF,0.670248987,0.027642734,719390215.7,639323547.3,1887082.4,1490217.035,0.720735986,0.003343267,,
1,9,SPC,NONE,0.678119077,0.026248221,636337150.7,452434042.2,2014293.92,1494374.157,0.721779017,0.002431183,,
1,9,TPC,MPOLY,0.673521591,0.025167599,618572327.7,549350405.3,1790707.36,1392303.776,0.722799632,0.003380073,,
1,9,TPC,MNOUNIF,0.670883448,0.027095468,702694635.5,623061413.8,1866621.6,1452182.228,0.720735986,-0.000662853,,
1,9,TPC,NONE,0.679027672,0.023798275,645285360.6,495964350.2,1964696.48,1397834.156,0.722853933,0.001535277,,
1,9,UC,MPOLY,0.676851423,0.022960838,676625638.4,595106994.7,1867850.4,1418088.16,0.721300967,0.000564982,,
1,9,UC,MNOUNIF,0.672451357,0.025753285,724612625.9,621074312.2,1971518.88,1504621.5,0.720735986,0.003373832,,
1,9,UC,NONE,0.676877,0.024799579,631978977.3,490658702.2,1820048.8,1357626.716,0.721439938,-0.000848448,,
1,9,SBX,MPOLY,0.673498999,0.025430789,628537379.8,523699147.3,1770251.68,1445412.92,0.724440326,0.004898232,,
1,9,SBX,MNOUNIF,0.675453108,0.022959293,754844257.3,621124947.1,2063829.92,1508576.787,0.720735986,0.003356786,,
1,9,SBX,NONE,0.678421247,0.024434783,735680005.1,543872944.3,2042114.72,1406170.965,0.720736122,0.002911471,,
1,9,NONE,MPOLY,0.675712237,0.022039428,666510691.8,567799483.1,1888537.76,1492607.283,0.720869669,0.002279818,,
1,9,NONE,MNOUNIF,0.670510409,0.027630918,705931031,622839001,1875992.48,1453135.31,0.720735986,0.003373832,,
1,9,UC,MPOLY,0.676851423,0.022960838,676625638.4,595106994.7,1867850.4,1418088.16,0.721300967,0.000564982,"['SPC_MBFLIP', 'NONE_MNOUNIF', 'SBX_MPOLY', 'UC_MPOLY', 'SBX_MPOLY', 'SPC_MPOLY', 'TPC_MPOLY', 'TPC_MPOLY', 'UC_MPOLY', 'UC_MPOLY']","{'NONE_MNOUNIF': 1, 'SBX_MPOLY': 2, 'UC_MPOLY': 3, 'SPC_MPOLY': 1, 'TPC_MPOLY': 2}"
1,10,SPC,MPOLY,0.676792626,0.02574882,609187713.3,478768610.4,1902505.12,1435509.076,0.724694348,0.002888159,,
1,10,SPC,MNOUNIF,0.67587432,0.022887069,629494126.1,526653273.7,1777898.4,1341850.171,0.721558388,0.000822402,,
1,10,SPC,NONE,0.680280076,0.024194156,636160416,528971388.5,2138130.08,1616792.053,0.725795084,0.004016067,,
1,10,TPC,MPOLY,0.67516561,0.026487537,662743772.2,530625345.5,1857758.88,1354898.217,0.724066086,0.001266455,,
1,10,TPC,MNOUNIF,0.675400072,0.023686462,626438081.3,528631707.7,1774720.16,1344699.516,0.721941165,0.001205179,,
1,10,TPC,NONE,0.679283801,0.025386449,631779160.3,521907463.7,1987831.2,1569095.622,0.723051406,0.000197473,,
1,10,UC,MPOLY,0.67773448,0.023403536,635137717.8,454741130.4,1838261.92,1350111.581,0.72247884,0.001177873,,
1,10,UC,MNOUNIF,0.675764164,0.023241028,631592350.7,525449826,1776533.92,1343161.855,0.722214505,0.00147852,,
1,10,UC,NONE,0.682501701,0.027097409,700523726.1,496154261,2252449.44,1566690.139,0.723996761,0.002556823,,
1,10,SBX,MPOLY,0.677009516,0.023908193,638784883.2,504278343,1844681.12,1352865.525,0.723116871,-0.001323455,,
1,10,SBX,MNOUNIF,0.674790262,0.02571842,624557937.9,535677621.3,1804961.44,1415714.886,0.721823662,0.001087676,,
1,10,SBX,NONE,0.676637954,0.025721315,641490429.4,542124980.2,1846214.56,1421228.632,0.721301073,0.000564951,,
1,10,NONE,MPOLY,0.677865564,0.020927697,604956652.8,495616827.8,1826507.68,1332108.948,0.721423807,0.000554138,,
1,10,NONE,MNOUNIF,0.675671976,0.023734802,632047015.7,525191376.2,1783728.8,1337313.44,0.721300967,0.000564982,,
1,10,SBX,MPOLY,0.677009516,0.023908193,638784883.2,504278343,1844681.12,1352865.525,0.723116871,-0.001323455,"['SPC_MBFLIP', 'NONE_MNOUNIF', 'SBX_MPOLY', 'UC_MPOLY', 'SBX_MPOLY', 'SPC_MPOLY', 'TPC_MPOLY', 'TPC_MPOLY', 'UC_MPOLY', 'UC_MPOLY', 'SBX_MPOLY']","{'NONE_MNOUNIF': 1, 'SBX_MPOLY': 3, 'UC_MPOLY': 3, 'SPC_MPOLY': 1, 'TPC_MPOLY': 2}"
1,11,SPC,MPOLY,0.677166531,0.024841213,602405443.8,444034936,1824303.52,1354417.833,0.724081498,-0.00061285,,
1,11,SPC,MNOUNIF,0.677013953,0.023903824,638976243.2,504103734.3,1843842.72,1353656.119,0.723116871,0.001558483,,
