Execution,Generation,Crossover_type,Mutation_type,mean_accuracy,std_accuracy,mean_flops,std_flops,mean_params,std_params,HV,dHV,succ_cross,succ_mut,search_name
10,73,SBX,MNUF,0.6703794965901284,0.03638258848153386,381939806.72,396736659.49375594,1442325.92,1550843.1431440623,0.7309957246066133,0.0,0.0,0.05,MARKOV_MUT
10,74,SBX,MNUF,0.6702919651181883,0.036466922882351066,382237314.56,396558270.49997485,1441300.64,1551609.719020318,0.7309963813402137,6.567336003904245e-07,0.01,0.085,MARKOV_MUT
10,75,SBX,MNUF,0.6702858646234887,0.036466731494561776,382218129.92,396569129.6809793,1442016.16,1551197.2926377528,0.7309965027615404,1.2142132665982075e-07,0.0,0.06,MARKOV_MUT
10,76,SBX,MNUF,0.6702858646234887,0.036466731494561776,382218129.92,396569129.6809793,1442016.16,1551197.2926377528,0.7309965027615404,0.0,0.0,0.06,MARKOV_MUT
10,77,SBX,MNUF,0.6706342265014251,0.036304589240009406,383605378.56,395846217.0491651,1447956.64,1548059.509201449,0.7309969774050783,4.746435379177072e-07,0.0,0.075,MARKOV_MUT
10,78,SBX,MPOLY,0.6731539404773409,0.036521549806197734,455375879.68,496018749.8640073,1673198.24,1773702.1031222416,0.7317635938167077,0.0007666164116294505,0.0,0.05,MARKOV_MUT
10,79,SBX,MPOLY,0.6701299137659117,0.03652676332213971,370261329.92,387746759.82333016,1396933.28,1441082.0876828225,0.7328350880826802,0.001071494265972417,0.01,0.095,MARKOV_MUT
10,80,UC,MPOLY,0.6707831248396363,0.0362283489658596,369329346.56,386162861.0644022,1431525.28,1460378.2726354024,0.7328425298020385,7.441719358292076e-06,0.02,0.005,MARKOV_MUT
10,81,SBX,MPOLY,0.6706375003569426,0.03611306792844201,380076229.12,432596095.55629766,1417529.76,1508245.9437587569,0.7330452902600283,0.00020276045798983677,0.0,0.075,MARKOV_MUT
10,82,SBX,MPOLY,0.6681173579960507,0.03593352019970449,312317816.32,296317066.749803,1251521.44,1265138.4139592655,0.7351870758030996,0.0021417855430713173,0.01,0.06,MARKOV_MUT
