Execution,Generation,HD_P1,HD_P2,HD_BM,HD_PB,Succ_Crossover_ratio,Succ_Mutation_ratio,NFHT,HV
8,2.0,0.0,0.0,0.25,0.875,0.19,0.37,0.0666666666666666,0.6833828235374867
8,3.0,0.0,0.0,0.25,0.0,0.24,0.405,0.0666666666666666,0.6858421482442036
8,4.0,0.0,0.0,0.25,0.0,0.25,0.295,0.0666666666666666,0.698178692894513
8,5.0,0.0,0.0,0.25,0.0,0.2,0.265,0.0666666666666666,0.6987690153695493
8,6.0,0.0,0.0,0.25,0.0,0.19,0.225,0.0666666666666666,0.7006165603353443
8,7.0,0.75,0.125,0.25,1.0,0.18,0.32,0.2333333333333333,0.7067271726695072
8,8.0,0.0,0.0,0.625,1.0,0.16,0.355,0.2666666666666666,0.7117589639921488
8,9.0,0.0,0.0,0.625,0.0,0.13,0.27,0.2666666666666666,0.7119323482916946
8,10.0,0.0,0.0,0.625,0.0,0.17,0.275,0.2666666666666666,0.7126705725887196
8,11.0,0.0,0.0,0.625,0.0,0.17,0.25,0.2666666666666666,0.7131868505284903
8,12.0,0.0,0.0,0.625,0.0,0.2,0.3,0.2666666666666666,0.7139622649725951
8,13.0,0.0,0.0,0.625,0.0,0.12,0.27,0.2666666666666666,0.7139660261347434
8,14.0,0.0,0.0,0.625,0.0,0.11,0.315,0.2666666666666666,0.7142790671016384
8,15.0,0.25,0.625,0.125,0.875,0.11,0.3,0.5,0.7168028520494578
8,16.0,0.25,0.625,0.125,0.0,0.11,0.32,0.5,0.7177330113684972
8,17.0,0.25,0.625,0.125,0.0,0.17,0.35,0.5,0.7191981885545518
8,18.0,0.25,0.625,0.125,0.0,0.14,0.355,0.5,0.719822727234009
8,19.0,0.25,0.625,0.125,0.0,0.07,0.32,0.5,0.719914388056438
8,20.0,0.25,0.625,0.125,0.0,0.12,0.29,0.5,0.7207729629312225
8,21.0,0.25,0.625,0.125,0.0,0.15,0.22,0.5,0.7207787234433436
8,22.0,0.25,0.625,0.125,0.0,0.15,0.31,0.5,0.7208214187781923
8,23.0,0.375,0.25,0.125,0.75,0.14,0.25,0.7666666666666667,0.7231597793435798
8,24.0,0.375,0.25,0.125,0.0,0.08,0.255,0.7666666666666667,0.7231882678495042
8,25.0,0.375,0.25,0.125,0.0,0.13,0.32,0.7666666666666667,0.7233215523759619
8,26.0,0.375,0.25,0.125,0.0,0.11,0.28,0.7666666666666667,0.7233734496428703
8,27.0,0.375,0.25,0.125,0.0,0.09,0.3,0.7666666666666667,0.723665443531673
8,28.0,0.375,0.25,0.125,0.0,0.1,0.265,0.7666666666666667,0.7236869941652528
8,29.0,0.375,0.25,0.125,0.0,0.19,0.24,0.7666666666666667,0.7236894694969866
8,30.0,0.375,0.25,0.125,0.0,0.03,0.28,0.7666666666666667,0.7236965243080605
8,30.0,0.375,0.25,0.125,0.0,0.03,0.28,0.7666666666666667,0.7236965243080605
9,1.0,0.0,0.0,0.5,0.0,0.25,0.43,0.0333333333333333,0.6741261556332618
9,2.0,0.0,0.0,0.375,1.0,0.25,0.395,0.0666666666666666,0.6816883351224121
9,3.0,0.875,0.125,0.5,1.0,0.3,0.305,0.1,0.6876661057553886
9,4.0,0.875,0.125,0.5,0.0,0.23,0.285,0.1,0.6898961331762802
9,5.0,0.25,0.625,0.125,0.875,0.19,0.31,0.1666666666666666,0.7022716724773481
9,6.0,0.125,0.875,0.25,0.5,0.21,0.315,0.2,0.7034596242664733
9,7.0,0.125,0.875,0.25,0.0,0.12,0.29,0.2,0.70387907928019
9,8.0,0.125,0.875,0.25,0.0,0.21,0.225,0.2,0.7045206117293681
9,9.0,0.375,0.375,0.125,0.875,0.16,0.285,0.3,0.7071114202952289
9,10.0,0.375,0.375,0.125,0.0,0.15,0.28,0.3,0.7108570660626008
9,11.0,0.375,0.375,0.125,0.0,0.15,0.33,0.3,0.7114364066890754
9,12.0,0.375,0.375,0.125,0.0,0.19,0.27,0.3,0.7116676273939765
9,13.0,0.375,0.375,0.125,0.0,0.17,0.26,0.3,0.7148712640270303
9,14.0,0.5,0.25,0.125,0.5,0.14,0.265,0.4666666666666667,0.7175757629720732
9,15.0,0.5,0.25,0.125,0.0,0.1,0.28,0.4666666666666667,0.7192835089672553
9,16.0,0.5,0.25,0.125,0.0,0.21,0.225,0.4666666666666667,0.7193482587659434
9,17.0,0.5,0.25,0.125,0.0,0.18,0.275,0.4666666666666667,0.7195018455657837
9,18.0,0.5,0.25,0.125,0.0,0.09,0.28,0.4666666666666667,0.7195151942814857
9,19.0,0.5,0.25,0.125,0.0,0.11,0.245,0.4666666666666667,0.7195990327227535
9,20.0,0.5,0.25,0.125,0.0,0.13,0.275,0.4666666666666667,0.7196743066576646
9,21.0,0.5,0.25,0.125,0.0,0.13,0.245,0.4666666666666667,0.7197196015031124
9,22.0,0.5,0.25,0.125,0.0,0.14,0.205,0.4666666666666667,0.7197640845200982
9,23.0,0.5,0.25,0.125,0.0,0.11,0.245,0.4666666666666667,0.7198781951568373
9,24.0,0.5,0.25,0.125,0.0,0.07,0.225,0.4666666666666667,0.7198909812581072
9,25.0,0.5,0.25,0.125,0.0,0.15,0.22,0.4666666666666667,0.7209794435050825
9,26.0,0.5,0.25,0.125,0.0,0.07,0.2,0.4666666666666667,0.7209861901591044
9,27.0,0.5,0.25,0.125,0.0,0.08,0.24,0.4666666666666667,0.7218699082136546
9,28.0,0.5,0.25,0.125,0.0,0.11,0.215,0.4666666666666667,0.721912231056383
9,29.0,0.375,0.375,0.375,0.75,0.13,0.175,0.9666666666666668,0.722260297728356
9,30.0,0.0,0.0,0.25,0.875,0.12,0.225,1.0,0.7231896535340807
9,30.0,0.0,0.0,0.25,0.875,0.12,0.225,1.0,0.7231896535340807
10,1.0,0.0,0.0,0.5,0.0,0.27,0.505,0.0333333333333333,0.673143586605904
10,2.0,0.0,0.0,0.5,1.0,0.29,0.445,0.0666666666666666,0.6812596160910016
